Project,Sprint/Taskgroup,task#,Parent,Title,Description,Start Date,Due Date,Status,Type,Assigned To,Priority,Created By,Estimated Hour,Label,Start Time,End Time,Break Time,Is Billable
PartiuShop TI ,,1,0,Leitura documentação,,08-24-2021,09-02-2021,,,,,,,,,,,
PartiuShop TI ,,2,1,Hub2b,,08-31-2021,08-31-2021,,,,,,,,,,,
PartiuShop TI ,,3,1,Hi platform,,09-01-2021,09-01-2021,,,,,,,,,,,
PartiuShop TI ,,4,1,Bling,,09-02-2021,09-02-2021,,,,,,,,,,,
PartiuShop TI ,,5,1,Ree46,,08-24-2021,08-24-2021,,,,,,,,,,,
PartiuShop TI ,,6,0,Correios,,08-24-2021,01-04-2022,,,,,,,,,,,
PartiuShop TI ,,7,6,Integração API,,08-24-2021,08-30-2021,,,,,,,,,,,
PartiuShop TI ,,8,6,Adicionar opção de cancelamento de pedido,,09-01-2021,09-07-2021,,,,,,,,,,,
PartiuShop TI ,,9,6,Adaptar módulo de devolução nativo ,,09-08-2021,09-10-2021,,,,,,,,,,,
PartiuShop TI ,,10,6,Integração Correios ao módulo de devolução,,09-13-2021,09-14-2021,,,,,,,,,,,
PartiuShop TI ,,11,6,Template de rastreamento de devolução,,09-15-2021,09-15-2021,,,,,,,,,,,
PartiuShop TI ,,12,6,Correções e Alterações de Layout,,12-31-2021,01-04-2022,,,,,,,,,,,
PartiuShop TI ,,14,0,Checkout Global,,09-16-2021,12-30-2021,,,,,,,,,,,
PartiuShop TI ,,15,14,Integração de APIs,,09-16-2021,09-29-2021,,,,,,,,,,,
PartiuShop TI ,,16,14,Adaptação do template de checkout,,09-30-2021,10-15-2021,,,,,,,,,,,
PartiuShop TI ,,17,14,Integração do checkout com API da Global,,09-30-2021,10-15-2021,,,,,,,,,,,
PartiuShop TI ,,18,14,Integração pré autorização,,12-28-2021,12-30-2021,,,,,,,,,,,
PartiuShop TI ,,19,0,Global Integração 1 click ,,10-18-2021,12-09-2021,,,,,,,,,,,
PartiuShop TI ,,20,19,API,,10-18-2021,10-26-2021,,,,,,,,,,,
PartiuShop TI ,,21,19,Criptografia dos dados,,10-27-2021,10-27-2021,,,,,,,,,,,
